회사명,사업연도,감사인,감사의견,감사보고서 특기사항,강조사항 등,핵심감사사항
BGF,"제27기
(당기)",삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서,이용자는 연결재무제표에 대한 주석에주의를 기울여야 합니다. 연결재무제표에 대한 주석에서 기술하고 있는 바
와 같이,연결회사는 종속기업인 (주)사우스스프링스의 매각계획 결정과 (주)비지에프휴먼넷의 매각으로 관련 사업부문의 경영성과를 계속사업과 구분하여 중단사업으로 표시하였으며,비교표시 되는 보고기간의 연결포괄손익계산서는 재작성되었습니다.","영업권의 손상 평가(연결재무제표) /
종속기업투자자산에 대한 손상평가
(별도재무제표)"
BGF,"제26기
(전기)",삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서, 이용자는 다음 사항에 주의를 기울여야 할 필요가 있습니다. 주석에서 기술하고 있는 바와 같이 연결회사는 주요주주와의 특수관계자 거래 일부를 추가로 표시하고 관계기업투자주식과 관련하여 인식할 이연법인세부채의 인식방법을 소급법으로 적용하여 2018년도 연결재무제표에서 인식하는 것으로 판단하여 2019년 12월 31일과 2018년 12월 31일로 종료하는 보고기간의 연결재무제표를 재작성하였습니다. 이로 인하여 2018년 12월 31일 현재 연결회사의 순자산은 16,472백만원 감소 하였으며 2019년 12월 31일 현재의 순자산에 미치는 영향이 없습니다. 이러한 조정으로 인하여 동일자로 종료되는 보고기간의 당기순이익에 미치는 영향은 없습니다.","영업권의 손상 평가(연결재무제표) /
종속기업투자자산에 대한 손상평가
(별도재무제표)"
BGF,"제25기
(전전기)",삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서, 이용자는 다음 사항에 주의를 기울여야 할 필요가 있습니다. 주석에서 기술하고 있는 바와 같이 연결회사는 주요주주와의 특수관계자 거래 일부를 추가로 표시하고 관계기업투자주식과 관련하여 인식할 이연법인세 부채의 인식방법을 소급법으로 적용하여 2018년도 연결재무제표에서 인식하는 것으로 판단하여 2018년 12월 31일로 종료하는 보고기간의 연결재무제표를 재작성하였습니다. 이로 인하여 2018년 12월 31일 현재 연결회사의 순자산은 16,472백만원 감소 하였습니다. 이러한 조정으로 인하여 동일자로 종료되는 보고기간의 당기순이익에 미치는 영향은 없습니다.",해당사항없음
BGF리테일,제4기(당기),삼정회계법인,적정,-,해당사항 없음,"가공의 가맹점을 통한 부정한
매출인식 위험"
BGF리테일,제3기(전기),삼정회계법인,적정,-,해당사항 없음,"(1) 가공의 가맹점을 통한 부정한 
매출인식 위험
(2) 리스기준서 도입효과 회계처리의 
완전성 및 정확성"
BGF리테일,제2기(전전기),삼정회계법인,적정,-,해당사항 없음,해당사항 없음
BGF에코머티리얼즈,제24기(당기),대주회계법인,적정,-,,
BGF에코머티리얼즈,제23기(전기),대주회계법인,적정,-,,
BGF에코머티리얼즈,제22기(전전기),대주회계법인,적정,-,,
BNK금융지주,제10기(당기),안진회계법인,적정 주),-,,"상각후원가로 측정된 대출채권의 
손실충당금 측정"
BNK금융지주,제9기(전기),삼일회계법인,적정,-,,"상각후원가 측정 대출채권의 
개별평가 대상 
신용손실충당금"
BNK금융지주,제8기(전전기),삼일회계법인,적정,-,,"상각후원가 측정 대출채권의 
개별평가 대상 
신용손실충당금"
BNK캐피탈,제11기,안진회계법인,적정,-,특이사항없음,특이사항없음
BNK캐피탈,제10기,삼일회계법인,적정,-,특이사항없음,특이사항없음
BNK캐피탈,제9기,삼일회계법인,적정,-,특이사항없음,특이사항없음
BYC,제66기(당기),삼덕회계법인,적 정,-,해당사항 없음,재고자산 평가
BYC,제65기(전기),제원회계법인,적 정,-,특수관계자와의 거래,수주산업 핵심감사항목
BYC,제64기(전전기),제원회계법인,적 정,-,특수관계자와의 거래,수주산업 핵심감사항목
CBI,제42기(당기),대주회계법인,적정,-,전기재무제표 재작성,재고자산 평가
CBI,제41기(전기),인일회계법인,적정,-,,
CBI,제40기(전전기),인일회계법인,적정,-,,
CJ,제68기(당기),한영회계법인,적정,-,해당사항없음,"종속기업투자주식의 손상평가, 영업권의 손상평가"
CJ,제67기(전기),삼일회계법인,적정,-,해당사항없음,"종속기업투자주식의 손상평가, 영업권의 손상평가"
CJ,제66기(전전기),삼일회계법인,적정,-,해당사항없음,"종속기업투자주식의 손상평가, 영업권의 손상평가"
CJ CGV,제22기(당기),삼정회계법인,적정,-,해당사항 없음,"현금창출단위의 손상평가
파생상품계약의 공정가치 평가"
CJ CGV,제21기(전기),삼정회계법인,적정,-,해당사항 없음,"리스회계처리의 적정성
총수익스왑(TRS)계약의 공정가치 평가
수익인식의 적정성
영업권의 손상평가"
CJ CGV,제20기(전전기),삼정회계법인,적정,-,해당사항 없음,
CJ ENM,-,-,,-,,
CJ ENM,-,-,,-,,
CJ ENM,-,-,,-,,
CJ 바이오사이언스,제12기(당기),신한회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서 이용자는 다음 사항들에 주의를 기울여야 할 필요가 있습니다. 

(1) 주석 32에 기술하고 있는 바와 같이 영업부문정보 주석에서 연결회사 매출액의  10% 이상을 차지하는 외부고객에 대한 정보를 반영하여 2020년 12월 31일로 종료되는 보고기간의 연결재무제표를 재작성하였습니다.",전환사채의 최초 인식과 후속측정
CJ 바이오사이언스,제11기(전기),신한회계법인,적정,-,,
CJ 바이오사이언스,제10기(전전기),한영회계법인,적정,-,,
CJ대한통운,제111기(당기),한영회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토 "
CJ대한통운,제110기(전기),한영회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토"
CJ대한통운,제109기(전전기),한영회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토
- 사업결합 회계처리"
CJ씨푸드,제45기(당분기),삼일회계법인,적정의견,-,중요한 회계추정 및 가정,관계기업에 대한 지분법 회계처리
CJ씨푸드,제44기(전   기),삼일회계법인,적정의견,-,해당사항없음,관계기업에 대한 지분법 회계처리
CJ씨푸드,제43기(전전기),삼일회계법인,적정의견,-,해당사항없음,
CJ제일제당,"제 14 기
(당기)",한영회계법인,적정의견,-,"기타사항에 전기재무제표
삼일회계법인의 감사사실 기재","- 별도 : 종속기업투자주식의 회수가능가액 검토
- 연결 : 영업권의 회수가능가액 검토"
CJ제일제당,"제 13 기
(전기)",삼일회계법인,적정의견,-,해당사항없음,"- 별도 : 종속기업투자주식의 회수가능가액 검토
- 연결 : (1) 영업권의 회수가능가액 검토
            (2) SCHWAN'S 그룹에 대한 지배력획득(사업결합)"
CJ제일제당,"제 12 기
(전전기)",삼일회계법인,적정의견,-,해당사항없음,
CJ프레시웨이,"제33기
(당기)",한영회계법인,적정,-,해당사항 없음,
CJ프레시웨이,"제32기
(전기)",삼일회계법인,적정,-,해당사항 없음,
CJ프레시웨이,"제31기
(전전기)",삼일회계법인,적정,-,해당사항 없음,
CMG제약,제20기(당기),이정회계법인,적정,-,,
CMG제약,제19기(전기),이정지율회계법인,적정,-,,
CMG제약,제18기(전전기),지율회계법인,적정,-,,
CNH,제32기(당기),"동현회계법인
(구.영앤진회계법인)",적정,-,해당사항 없음,금융자산의 분류 및 측정
CNH,제31기(전기),영앤진회계법인,적정,-,해당사항 없음,금융자산의 분류 및 측정
CNH,제30기(전전기),영앤진회계법인,적정,-,해당사항 없음,해당사항 없음
CNT85,제25기(당기),성현회계법인,적정,-,"(1) 상장폐지사유 발생 주석 42에 기재되어 있는 바와 같이 2019년 2월 11일자 전임임원의 횡령혐의 발생, 2019년 3월 19일자 감사보고서의 의견거절, 2020년 4월 6일자 감사보고서의 의견거절, 2020년 5월 15일자 사업보고서 분기매출액 3억원 미만 및 2020년 8월 14일 반기감사보고서의 의견거절, 2020년 11월 16일자 사업보고서 분기매출액 3억원 미만 등을 사유로 회사는 상장폐지사유가 발생하였습니다. 감사보고서일 현재 회사의 상기 상장폐지 사유가 해소되지 아니하였으며, 한국거래소 기업심사위원회는 2018사업연도 및 2019사업연도 감사의견 상장폐지 사유와 병합하여 상장폐지 여부를 결정할 예정입니다.
(2) 회생계획인가 주석 39에 기재되어 있는 바와 같이 2019년 9월 1일자 회생계획인가에 따라 회사의 회생채무 30,392백만원 중 12,215백만원이 출자전환, 18,177 백만원이 현금상환 되었습니다. 한편, 출자전환으로 인하여 9,350 백만원의 채무면제이익이 인식되었습니다. (3) 전임원 횡령 주석 41에 기재되어 있는 바와 같이 2019년 2월 8일, 회사의 전임 임원들의 횡령사실이 발생하였으며, 2심에서 유죄판결을 받았습니다. 감사보고서일 현재 상고심이 진행 중에 있습니다.",
CNT85,제24기(전기),신한회계법인,적정,-,"(1) 상장폐지 사유발생주석 42에 기재되어 있는 바와 같이 2019년 2월 11일자 전임임원의 횡령혐의 발생, 2019년 3월 19일자 감사보고서의 의견거절, 2020년 4월 6일자 감사보고서의 의견거절, 2020년 5월 15일자 분기매출액 3억원 미만 및 2020년 8월 14일 반기감사보고서의 의견거절을 사유로 회사는 상장폐지사유가 발생하였습니다. 감사보고서일 현재 회사의 상기 상장폐지 사유가 해소되지 아니하였으며, 한국거래소 기업심사위원회는2018사업연도 및 2019사업연도 감사의견 상장폐지 사유와 병합하여 상장폐지 여부를 결정할 예정입니다.

(2) 계속기업 관련 중요한 불확실성주석 41에 기재되어 있는 바와 같이, 2019년 12월 31일로 종료되는 보고기간에 회사의 영업손실이 4,692백만원, 당기순손실이 30,910백만원 발생하여 당기말 현재 누적결손금은 93,689백만원이고, 당기말 현재 유동부채가34,397백만원으로 유동자산을 29,521백만원 초과하고 있습니다. 또한, 회사는 주요사업의 매출감소, 사업다각화 노력의 실패, 전 경영진의 횡령 및 감사의견 거절, 소송사건에 따른 우발부채 등에 따라 재무구조상의 위험에 노출되어 있습니다. 이러한 이유로 회사는 2020년 4월 2일 회생절차개시를 신청하여 2020년 4월 3일 보전처분 및 2020년 5월 11일 개시 결정을 받았습니다. 현재 당사의 관리인이 제출한 회생계획안이 2020년 9월 1일 회생계획안결의를 위한 관계인집회에서 가결되었으며, 채무자 회생 및 파산에 관한 법률 제243조 제1항에서 정한 요건을 구비하였다고 인정되는 것으로 서울회생법원으로부터회생계획인가 결정을 받았습니다. 따라서, 회사의 계속기업으로서의 존속여부는 주석 41에서 설명하고 있는 회사의 회생계획의 이행여부에 따라 결정되므로 중요한 불확실성이 존재할 수 있습니다. 우리의 의견은 이 사항으로부터 영향을 받지 아니합니다.",
CNT85,제23기(전전기),삼화회계법인,의견거절,-,"1. 우리는 2018년 12월 31일 현재 연결회사가 (주)얼라이컴퍼니에 (주)세화아이엠씨 지분을 담보로 하여 회수절차 없이 만기를 연장하고 있는 41억원의 자금대여 계약에 대하여 실질적으로 채권인지 지분 취득인지를 확인할 수 없었고, 따라서 해당 자산을 적정하게 평가할 수 없었습니다. 
2.  (주)세화아이엠씨 주식과 관련하여 지분법 평가를 위한 취득시 자산과 부채의 순공정가치와 영업권 정보 및 2018년 12월 31일 현재 (주)세화아이엠씨의 신뢰성 있는 재무정보를 제공받지 못하였습니다.
3. 우리는 (주)얼라이컴퍼니, (주)세화아이엠씨, (주)데오로, 알프스투자조합이 특수관계자라는 사실과 (주)디아젠 취득거래를 포함한 해당 거래처와의 거래를 회사로부터 제시받지 못하였습니다. 우리는  별첨된 연결회사의 재무제표가 특수관계자 및 특수관계자와의 거래를 완전하고 정확하게 공시하는 지를 확인하거나 검증할 수 없었습니다.
 이와 같은 사항들의 결과, 우리는 기타채권과 관계기업투자, 그리고 연결포괄손익계산서, 연결자본변동표, 연결현금흐름표의 구성요소 및 주석에 관하여 수정이 필요한 사항이 발견되었을 것인지 여부를 결정할 수 없었습니다.",
CS,제22기(당기),신한회계법인,적정,-,"""해당사항없음""","-기업회계기준서 제1002호 ""재고자산"""
CS,제21기(전기),신한회계법인,적정,-,"""해당사항없음""",-기업회계기준서 제1116호 '리스'
CS,제20기(전전기),신한회계법인,적정,-,"""해당사항없음""",-기업회계기준서 제1109호 '금융상품'
CSA 코스믹,제32기(당기),안경회계법인,적정,-,"""재무제표에 대한 감사보고서 중
강조사항 및 기타사항 참조""","핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적인 사항들입니다. 
해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성시 다루어졌으며, 
우리는 이런 사항에 대하여 별도의 의견을 제공하지는 않습니다.
핵심감사사항 1. 수익의 발생사실
핵심감사사항으로 결정된 이유
연결재무제표에 대한 주석 3에서 기재한 바와 같이, 
연결실체는 고객과의 계약으로부터 구별되는 수행의무를 식별하고 개별 의무를 이행하는 시점에 수익을 인식합니다.
연결실체의 매출은 연결실체의 핵심 재무성과 평가지표 중 하나입니다. 
수익인식조건이 충족되기 이전에 매출이 인식될 고유위험이 높고 재무성과에 대한 외부압력으로 인해
 연결재무제표가 왜곡표시 될 위험이 있는 항목으로 판단하여 수익인식을 핵심감사사항으로 식별하였습니다.
해당사항이 감사에서 다루어진 방법 
수익의 발생사실이 적절한지 검토하기 위해 우리는 다음을 포함한 주요 감사절차를 수행하였습니다.
- 수익인식과 관련된 연결실체의 프로세스 이해 및 통제 평가
- 매출거래 중 표본추출하여 문서검사
- 매출거래 중 기간귀속의 적정성 검토

핵심감사사항 2. 사업결합에 따른 영업권 손상검사 
핵심감사사항으로 결정된 이유
2020년 12월 31일 현재 연결실체는 1,212,857천원의 영업권을 인식하고 있으며,
이는 연결실체 자산총액의 3.4%를 차지하고 있습니다. 
영업권의 규모, 손상 여부의 판단에 있어 경영진의 유의적인 판단이 포함되어 있으며, 
연결재무제표에 미치는 영향이 유의적이므로 우리는 영업권의 손상 평가를 핵심감사사항으로 결정하였습니다.
해당사항이 감사에서 다루어진 방법 
영업권의 손상 평가가 적절한지 검토하기 위해 우리는 다음을 포함한 주요 감사절차를 수행하였습니다.
- 연결실체의 사업결합시 영업권에 대한 손상 검토 관련 통제절차 확인
- 경영진이 승인한 사업계획의 검토, 관측가능한 외부시장자료와의 비교를 통한 투입변수의 합리성 검토
- 외부전문가의 손상검사보고서에 대한 검토와 재계산 검증
- 손상검사의 적절성을 확인하기 위한 판단근거 문서검사"
CSA 코스믹,제31기(전기),삼덕회계법인,적 정,-,"""재무제표에 대한 감사보고서 중
강조사항 및 기타사항 참조""","핵심감사사항은 우리의 전문가적 판단에 따라 당기 재무제표감사에서 가장 유의적인사항들입니다. 
해당 사항들은 재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 
우리는 이러한 사항에 대하여 별도의 의견을 제공하지는 않습니다.

가. 총계약원가 추정의 불확실성재무제표에 대한 주석 27에서 언급한 바와 같이, 
미청구공사 및 초과청구공사 금액은 총계약원가와 누적발생 계약원가를 기준으로 측정하는 진행률의 영향을 받으며, 
총계약원가는 외주비, 노무비, 공사기간등의 미래 예상치에 근거하여 추정합니다.
총계약원가 추정의 어려움 및 공사 계약변경에 따른 추가용역원가 등 총계약원가의 추정에 불확실성이 존재함에 따라 
이러한 추정의 불확실성이 증가하고 총계약수익과총계약원가 추정치 변동이 
당기 손익(또는 미래손익)에 영향을 미칠 가능성이 존재함에 따라 
우리는 총계약원가 추정의 불확실성을 유의적인 위험으로 식별하였습니다.
당기말 현재 회사의 총계약원가 추정의 불확실성이 재무제표에 미치는 영향과 관련하여 우리가 수행한 주요감사절차는다음과 같습니다.
 ㆍ 보고기간별 예정원가의 주요 원가구성항목의 변동에 대한 질문 및 분석적 검토
 ㆍ 프로젝트별 예정원가 구성의 합리성에 대한 질문 및 분석적 검토
 ㆍ 예정원가의 유의적인 변동이 있는 프로젝트에 대하여 변동원인 등 질문 및 분석적 검토
 ㆍ 실제원가와 예정원가를 비교·분석하여 유의적인 차이가 있는 프로젝트에 대하여 차이원인을 파악하고 
      필요한 경우 관련 증빙을 확인
나. 공사진행률의 산정
재무제표에 대한 주석 27에서 기술한 바와 같이 총계약원가의 추정 변동액은 누적계약원가 대비 미미하지만, 
업계 현황으로 인해 총계약원가의 불확실성이 증가함에 따라 우리는 회사의 공사진행률 산정을 유의적인 위험으로
 식별하였습니다.
공사진행률 산정에 영향을 미치는 총계약원가와 누적계약원가 금액과 관련하여 우리가 수행한 주요감사절차는 
다음과 같습니다.
 ㆍ 공사진행률 증감원인에 대한 질문 및 분석적 검토
 ㆍ 공사원가 증가 사유와 전망에 대한 질문 및 분석적 검토
 ㆍ 누적계약원가 및 총계약원가 금액 변동에 대한 분석적 검토
 ㆍ 회사의 간접비 배분 정책을 이해하고 간접비 배분과 관련한 내부통제 테스트
 ㆍ 공사진행률이 유의적으로 변동된 계약에 대하여 독립적으로 공사진행률 재계산수행
 ㆍ 당기 발생한 투입원가 중 감사인이 독립적으로 투입원가의 발생과 귀속시기 및  건설계약별 원가귀속의 적정성을 
     테스트"
CSA 코스믹,제30기(전전기),회계법인리안,적 정,-,"""재무제표에 대한 감사보고서 중
강조사항 및 기타사항 참조""",
CS홀딩스,제73기(당기),대현회계법인,적정,-,해당사항 없음,1. 영업권에 대한 손상검토
CS홀딩스,제72기(전기),가율회계법인,적정,-,해당사항 없음,1. 제품매출원가 계산의 적정성
CS홀딩스,제71기(전전기),가율회계법인,적정,-,해당사항 없음,
DB,"제44기
(당기)",안진회계법인,적정,-,해당사항 없음,"1) 투입법 기준 진행매출 인식 대상 
   시스템 구축용역의 총예정원가 추정"
DB,"제43기
(전기)",안진회계법인,적정,-,해당사항 없음,"1) 투입법 기준 진행매출 인식 대상 
   시스템 구축용역의 총예정원가 추정"
DB,"제42기
(전전기)",안진회계법인,적정,-,해당사항 없음,"1) 시스템 구축용역의 수익인식 시점
2) 투입법 기준 진행매출 인식 대상 
   시스템 구축용역의 총예정원가 추정"
DB금융스팩8호,제1기(당기),대현회계법인,적정의견,-,,
DB금융스팩8호,-,-,,-,,
DB금융스팩8호,-,-,,-,,
DB금융스팩9호,제1기(당기),대현회계법인,적정의견,-,,
DB금융스팩9호,-,-,,-,,
DB금융스팩9호,-,-,,-,,
DB금융투자,"제39기
(당기)",한영회계법인,적정,-,,"공정가치 서열체계 수준 3으로 분류된 당기손익-공정가치측정금융상품, 
기타포괄손익-공정가치측정금융자산에 대한 공정가치 평가 
구조화기업에 대한 연결범위 판단
연결재무제표에 대한 경영진과 지배기구의 책임
연결재무제표감사에 대한 감사인의 책임"
DB금융투자,"제38기
(전기)",한영회계법인,적정,-,,"공정가치 서열체계 수준 3으로 분류된 당기손익-공정가치측정금융상품, 
기타포괄손익-공정가치측정금융자산에 대한 공정가치 평가 
구조화기업에 대한 연결범위 판단
연결재무제표에 대한 경영진과 지배기구의 책임
연결재무제표감사에 대한 감사인의 책임"
DB금융투자,"제37기
(전전기)",한영회계법인,적정,-,,"공정가치 서열체계 수준 3으로 분류된 당기손익-공정가치측정금융상품, 
기타포괄손익-공정가치측정금융자산에 대한 공정가치 평가  
구조화기업에 대한 연결범위 판단
연결재무제표에 대한 경영진과 지배기구의 책임
연결재무제표감사에 대한 감사인의 책임"
DB생명보험,-,-,,-,,
DB생명보험,-,-,,-,,
DB생명보험,-,-,,-,,
DB손해보험,제54기,한영회계법인,적정의견,-,강조사항 없음,보험계약부채 중 보험료적립금
DB손해보험,제53기,한영회계법인,적정의견,-,강조사항 없음,보험계약부채 중 보험료적립금
DB손해보험,제52기,한영회계법인,적정의견,-,강조사항 없음,보험계약부채 중 보험료적립금
DB캐피탈,-,-,,-,,
DB캐피탈,-,-,,-,,
DB캐피탈,-,-,,-,,
DB하이텍,제68기 (당기),삼정회계법인,적정,-,해당사항없음*,"(1) 투입법에 따른 수익인식
(2) 총계약원가에 대한 추정의 불확실성"
DB하이텍,제67기 (전기),삼정회계법인,적정,-,해당사항 없음,"(1) 투입법에 따른 수익인식
(2) 총계약원가에 대한 추정의 불확실성
(3) 산정된 조립생산 진행률의 적정성"
DB하이텍,제66기 (전전기),삼정회계법인,적정,-,해당사항 없음,"(1) 투입법에 따른 수익인식
(2) 총계약원가에 대한 추정의 불확실성
(3) 산정된 조립생산 진행률의 적정성"
DGB금융지주,제10기(당기),한영회계법인,적정,-,COVID19 관련 재무영향,"1) 대손충당금 측정을 위한 신용위험의 증가 정도 판단
2) 부도율과 부도시손실율 등 리스크 요소 추정
3) 미래전망 정보의 추정 및 개별평가 관련 미래현금흐름과 할인율"
DGB금융지주,제9기(전기),삼정회계법인,적정,-,,"1) 개별평가 대상 대출채권의 기대신용손실 - 담보회수현금흐름 평가
2) 집합평가 대상 대출채권의 기대신용손실 - 리스크요소 평가"
DGB금융지주,제8기(전전기),삼정회계법인,적정,-,,"1) 대출채권 손상
2) 보험계약부채 중 보험료적립금"
DGP,제24기(당기),삼덕회계법인,적정,-,"1. 사업결합
2. 후속사건",유형 및 무형자산의 손상평가
DGP,제23기(당기),가현회계법인,적정,-,해당사항 없음,해당사항 없음
DGP,제22기(전기),대성삼경회계법인,적정,-,해당사항 없음,해당사항 없음
DH오토웨어,제42기(당기),삼일회계법인,적정,-,지적사항없음,현금창출단위에 대한 손상평가
DH오토웨어,제41기(전기),삼일회계법인,적정,-,지적사항없음,현금창출단위에 대한 손상평가
DH오토웨어,제40기(전전기),삼일회계법인,적정,-,지적사항없음,
DL,제74기 (당기),안진회계법인,적정,-,,- 총 예정원가의 추정- 인적분할 관련 미지급배당금의 평가
DL,제73기(전기),안진회계법인,적정,-,,- 총 예정원가의 추정
DL,제72기(전전기),안진회계법인,적정,-,,"- 분양공사의 수익인식 시점
- 총 예정원가의 추정"
DL건설,제64기(당기),삼정회계법인,적정,-,,"- 투입법에 따른 수익인식 등 기업의 회계정책
- 공사예정원가에 대한 추정의 불확실성
- 산정된 공사진행률의 적정성
- 미청구공사 회수가능성 평가
- 공사변경에 따른 회계처리"
DL건설,제63기(전기),삼정회계법인,적정,-,,"- 투입법에 따른 수익인식 등 회계정책
 - 총계약원가 추정의 불확실성
 - 산정된 공사진행률의 적정성
 - 미청구공사금액 회수가능성에 대한 평가
 - 공사변경에 따른 회계처리의 적절성"
DL건설,제62기(전전기),삼정회계법인,적정,-,,"- 투입법에 따른 수익인식 등 회계정책
 - 총계약원가 추정의 불확실성 및 공사변경에 대한 회계처리
 - 공사진행률 산정
 - 미청구공사금액 회수가능성에 대한 평가"
DL에너지,-,-,,-,,
DL에너지,-,-,,-,,
DL에너지,-,-,,-,,
DMS,제22기(당기),서현회계법인,적정,-,,
DMS,제21기(전기),서현회계법인,적정,-,,수익인식 회계처리
DMS,제20기(전전기),안진회계법인,적정,-,,
DN오토모티브,제50기(당기),안진회계법인,적정,-,해당사항없음,수출매출인식시기 및 자산손상평가
DN오토모티브,제49기(전기),안진회계법인,적정,-,해당사항없음,수출매출인식시기 및 자산손상평가
DN오토모티브,제48기(전전기),안진회계법인,적정,-,해당사항없음,
DRB동일,제55기(당기),안경회계법인,적정,-,,매출의 적정성 및 재고자산 회계처리의 적정성
DRB동일,제54기(전기),성현회계법인,적정,-,,매출의 적정성
DRB동일,제53기(전전기),성현회계법인,적정,-,,수주산업 핵심감사사항
DSC인베스트먼트,제9기(당기),대성삼경회계법인,적정,-,"전기재무제표 재작성
(전환권대가)",투자조합(펀드)이 보유한 비상장 지분상품 및 복합금융상품의 공정가치 평가
DSC인베스트먼트,제8기(전기),신한회계법인,적정,-,해당사항없음,
DSC인베스트먼트,제7기(전전기),신한회계법인,적정,-,해당사항없음,
DSEN,제26기(당기),서현회계법인,적정,-,"-상장적격성 실질심사 대상(최근 5사업연도 연속 영업손실의 발생 등)
-후속사건(주요종속기업 주식회사 엠피한강 지분매각 주식매매계약체결)",-현금창출단위의 손상검토
DSEN,제25기(전기),이촌회계법인,적정,-,"상장 적격성 실질심사 대상에 해당
(최근 5사업연도 연속 영업손실의 발생 등)",
DSEN,제24기(전전기),안진회계법인,적정,-,,
DSR,제57기(당기),삼덕회계법인,적정,-,해당사항 없음,특수관계자 거래의 발생사실과 표시
DSR,제56기(당기),삼일회계법인,적정,-,해당사항 없음,재화판매 수익인식 발생사실
DSR,제55기(전기),삼일회계법인,적정,-,,
DSR제강,제50기(당기),안경회계법인,적정,-,해당사항 없음,특수관계자와의 거래 및 잔액 공시의 적정성
DSR제강,제49기(당기),안경회계법인,적정,-,해당사항 없음,특수관계자와의 거래 및 잔액 공시의 적정성
DSR제강,제48기(전기),경신회계법인,적정,-,해당사항 없음,  해당사항 없음
DXVX,제20기(당기),대주회계법인,적정,-,,
DXVX,제19기(전기),삼일회계법인,적정,-,,
DXVX,제18기(전전기),안진회계법인,적정,-,,
E1,제37기(당기),한영회계법인,적정,-,해당사항 없음,- 연결 및 별도 : 사용권자산과 리스부채
E1,제36기(전기),한영회계법인,적정,-,해당사항 없음,"- 연결 : 투자부동산에 대한 손상 평가
- 별도 : 종속기업투자주식(주식회사 LS네트웍스)에 대한 손상 평가"
E1,제35기(전전기),한영회계법인,적정,-,해당사항 없음,해당사항 없음
EDGC,제8기(당기),이촌회계법인,적정,-,해당사항없음,해당사항없음
EDGC,제7기(전기),이촌회계법인,적정,-,해당사항없음,해당사항없음
EDGC,제6기(전전기),이촌회계법인,적정,-,해당사항없음,해당사항없음
EG,제34기(당기),회계법인 예교,적정,-,해당사항없음,해당사항없음
EG,제33기(전기),회계법인 예교,적정,-,해당사항없음,해당사항없음
EG,제32기(전전기),회계법인 예교,적정,-,해당사항없음,해당사항없음
EMB,제××기(당기),-,,-,,
EMB,제××기(전기),-,,-,,
EMB,제××기(전전기),-,,-,,
ESR켄달스퀘어리츠,제2기(당기),안진회계법인,적정,-,해당사항 없음,
ESR켄달스퀘어리츠,제1기(전기),안진회계법인,적정,-,해당사항 없음,
ESR켄달스퀘어리츠,제××기(전전기),-,,-,,
ES큐브,제43기(당기),대현회계법인,적정,-,,
ES큐브,제42기(전기),대현회계법인,적정,-,,
ES큐브,제41기(전전기),대현회계법인,적정,-,,
