회사명,사업연도,감사인,감사의견,감사보고서 특기사항,강조사항 등,핵심감사사항
BNK금융지주,제8기(전기),삼일회계법인,적정,-,,"상각후원가 측정 대출채권의 
개별평가 대상 
신용손실충당금"
BNK금융지주,제7기(전전기),삼일회계법인,적정,-,,
BNK캐피탈,제10기(당기),삼일회계법인,적정,-,특이사항없음,특이사항없음
BNK캐피탈,제9기,삼일회계법인,적정,-,특이사항없음,특이사항없음
BNK캐피탈,제8기,삼일회계법인,적정,-,특이사항없음,특이사항없음
BYC,제65기(당기),제원회계법인,적 정,-,특수관계자와의 거래,수주산업 핵심감사항목
BYC,제64기(전기),제원회계법인,적 정,-,특수관계자와의 거래,수주산업 핵심감사항목
BYC,제63기(전전기),제원회계법인,적 정,-,"-수주산업 핵심감사항목
-특수관계자와의 거래",
CBI,제41기(당기),인일회계법인,적정,-,,
CBI,제40기(전기),인일회계법인,적정,-,,
CBI,제39기(전전기),인일회계법인,적정,-,,
CJ,제67기(당기),삼일회계법인,적정,-,해당사항없음,"종속기업투자주식의 손상평가, 영업권의 손상평가"
CJ,제66기(전기),삼일회계법인,적정,-,해당사항없음,"종속기업투자주식의 손상평가, 영업권의 손상평가"
CJ,제65기(전전기),삼일회계법인,적정,-,해당사항없음,해당사항없음
CJ CGV,제21기(당기),"삼정회계법인(연결)
삼정회계법인(별도)","적정
적정",-,"없음
없음","리스회계처리의 적정성
총수익스왑(TRS)계약의 공정가치 평가
수익인식의 적정성
영업권의 손상평가"
CJ CGV,제20기(전기),"삼정회계법인(연결)
삼정회계법인(별도)","적정
적정",-,"없음
없음",
CJ CGV,제19기(전전기),"삼정회계법인(연결)
삼정회계법인(별도)","적정
적정",-,"없음
없음",
CJ ENM,-,-,,-,,
CJ ENM,-,-,,-,,
CJ ENM,-,-,,-,,
CJ 바이오사이언스,제11기(당기),신한회계법인,적정,-,,
CJ 바이오사이언스,제10기(전기),한영회계법인,적정,-,,
CJ 바이오사이언스,제9기(전전기),한영회계법인,적정,-,,
CJ대한통운,제110기(당기),한영회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토 "
CJ대한통운,제109기(전기),한영회계법인,적정의견,-,해당사항 없음,"- 건설부문의 수익인식
- 영업권의 손상검토 
- 사업결합 회계처리"
CJ대한통운,제108기(전전기),한영회계법인,적정의견,-,해당사항 없음,해당사항 없음
CJ씨푸드,제44기(당   기),삼일회계법인,적정의견,-,해당사항없음,관계기업에 대한 지분법 회계처리
CJ씨푸드,제43기(전   기),삼일회계법인,적정의견,-,해당사항없음,
CJ씨푸드,제42기(전전기),삼일회계법인,적정의견,-,해당사항없음,
CJ제일제당,제 13 기,삼일회계법인,적정의견,-,해당사항없음," 별도 : 종속기업투자주식의 회수가능가액 검토
 연결 : (1) 영업권의 회수가능가액 검토
          (2) SCHWAN'S 그룹에 대한 지배력획득(사업결합)"
CJ제일제당,제 12 기,삼일회계법인,적정의견,-,해당사항없음,
CJ제일제당,제 11 기,삼일회계법인,적정의견,-,해당사항없음,
CJ프레시웨이,"제32기
(당기)",삼일회계법인,적정,-,해당사항 없음,
CJ프레시웨이,"제31기
(전기)",삼일회계법인,적정,-,해당사항 없음,
CJ프레시웨이,"제30기
(전전기)",삼일회계법인,적정,-,해당사항 없음,
CMG제약,제19기 (당기),이정지율회계법인,적정,-,,
CMG제약,제18기(전기),지율회계법인,적정,-,,
CMG제약,제17기(전전기),한길회계법인,적정,-,,
CNH,제31기(당기),영앤진회계법인,적정,-,해당사항 없음,금융자산의 분류 및 측정
CNH,제30기(전기),영앤진회계법인,적정,-,해당사항 없음,해당사항 없음
CNH,제29기(전전기),영앤진회계법인,적정,-,해당사항 없음,해당사항 없음
CNT85,제24기(당기),신한회계법인,의견거절,-,"(1) 계속기업전제와 관련된 중요한 불확실성연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로, 연결회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정하에 회계처리 되었습니다. 그러나 연결회사는 당기 계속영업손실이 22,305백만원이 발생하였고, 당기말 현재 유동부채가 유동자산을 19,558백만원 초과하고 있습니다. 이러한 상황은 연결회사의 계속기업으로의 존속능력에 대하여 유의적인 의문을 초래합니다. 연결회사가 계속기업으로서 존속할지의 여부는연결회사의 향후 주요자산 처분 및 자금조달계획과 생산, 판매, 재무 등 경영개선계획의 성패와 우발부채 여부에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 충분하고 적합한 감사증거를확보할 수없었습니다.(2) 기초연결재무제표에 대한 검토범위의 제한2018년 12월 31일로 종료되는 보고기간의 연결재무제표는 삼화회계법인이 감사하였으며, 2019년 3월 19일자 연결감사보고서에서 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 연결회사의 2019년 1월 1일자 연결재무제표에 대한 충분하고 적합한 증거를 확보하지 못하였습니다. 이로 인하여, 기초연결재무제표에 포함되었을 수도 있는 왜곡표시가 2019년 12월 31일 현재의 연결재무상태표, 동일로 종료되는 보고기간의 연결포괄손익계산서와 연결자본변동표 및 연결현금흐름표에 미치는 영향을 결정할 수 없었습니다.",
CNT85,제23기(전기),삼화회계법인,의견거절,-,"1. 우리는 2018년 12월 31일 현재 연결회사가 (주)얼라이컴퍼니에 (주)세화아이엠씨 지분을 담보로 하여 회수절차 없이 만기를 연장하고 있는 41억원의 자금대여 계약에 대하여 실질적으로 채권인지 지분 취득인지를 확인할 수 없었고, 따라서 해당 자산을 적정하게 평가할 수 없었습니다. 
2.  (주)세화아이엠씨 주식과 관련하여 지분법 평가를 위한 취득시 자산과 부채의 순공정가치와 영업권 정보 및 2018년 12월 31일 현재 (주)세화아이엠씨의 신뢰성 있는 재무정보를 제공받지 못하였습니다.
3. 우리는 (주)얼라이컴퍼니, (주)세화아이엠씨, (주)데오로, 알프스투자조합이 특수관계자라는 사실과 (주)디아젠 취득거래를 포함한 해당 거래처와의 거래를 회사로부터 제시받지 못하였습니다. 우리는  별첨된 연결회사의 재무제표가 특수관계자 및 특수관계자와의 거래를 완전하고 정확하게 공시하는 지를 확인하거나 검증할 수 없었습니다.
 이와 같은 사항들의 결과, 우리는 기타채권과 관계기업투자, 그리고 연결포괄손익계산서, 연결자본변동표, 연결현금흐름표의 구성요소 및 주석에 관하여 수정이 필요한 사항이 발견되었을 것인지 여부를 결정할 수 없었습니다.",
CNT85,제22기(전전기),삼화회계법인,적정,-,,
CS,제21기(당기),신한회계법인,적정,-,"""해당 사항 없음""",-기업회계기준서 제1116호 '리스'
CS,제20기(전기),신한회계법인,적정,-,"""해당 사항 없음""",-기업회계기준서 제1189호 '금융상품'
CS,제19기(전전기),삼정회계법인,적정,-,"감사의견에는 영향을 미치지 않는 사항으로서 이용자는 재무제표에 대한 주석 10에 주의를 기울여야 할 필요가 있습니다. 재무제표에 대한 주석 10에 기술하고 있는 바와 같이 회사는 건물 및 토지를 처분하기로 결정하였으며, 2018년 1월 10일 매각을 완료하였습니다. 이로 인해 처분된 토지와 건물은 당기말 현재 매각예정비유동자산으로 31,930,000천원이 계상되어 있으며, 당기말 현재 수령한 계약금과 중도금 22,700,000천원은 선수금으로 계상되어 있습니다.","-이연법인세 자산의 
자산성 검토"
CSA 코스믹,제31기(당기),삼덕회계법인,적 정,-,"""재무제표에 대한 감사보고서 중
강조사항 및 기타사항 참조""","핵심감사사항은 우리의 전문가적 판단에 따라 당기 재무제표감사에서 가장 유의적인사항들입니다. 해당 사항들은 재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이러한 사항에 대하여 별도의 의견을 제공하지는 않습니다.

가. 총계약원가 추정의 불확실성재무제표에 대한 주석 27에서 언급한 바와 같이, 미청구공사 및 초과청구공사 금액은 총계약원가와 누적발생 계약원가를 기준으로 측정하는 진행률의 영향을 받으며, 총계약원가는 외주비, 노무비, 공사기간등의 미래 예상치에 근거하여 추정합니다.
총계약원가 추정의 어려움 및 공사 계약변경에 따른 추가용역원가 등 총계약원가의 추정에 불확실성이 존재함에 따라 이러한 추정의 불확실성이 증가하고 총계약수익과총계약원가 추정치 변동이 당기 손익(또는 미래손익)에 영향을 미칠 가능성이 존재함에 따라 우리는 총계약원가 추정의 불확실성을 유의적인 위험으로 식별하였습니다.
당기말 현재 회사의 총계약원가 추정의 불확실성이 재무제표에 미치는 영향과 관련하여 우리가 수행한 주요감사절차는 다음과 같습니다.
 ㆍ 보고기간별 예정원가의 주요 원가구성항목의 변동에 대한 질문 및 분석적 검토
 ㆍ 프로젝트별 예정원가 구성의 합리성에 대한 질문 및 분석적 검토
 ㆍ 예정원가의 유의적인 변동이 있는 프로젝트에 대하여 변동원인 등 질문 및 분석적 검토
 ㆍ 실제원가와 예정원가를 비교·분석하여 유의적인 차이가 있는 프로젝트에 대하여 차이원인을 파악하고 필요한 경우 관련 증빙을 확인
나. 공사진행률의 산정
재무제표에 대한 주석 27에서 기술한 바와 같이 총계약원가의 추정 변동액은 누적계약원가 대비 미미하지만, 업계 현황으로 인해 총계약원가의 불확실성이 증가함에 따라 우리는 회사의 공사진행률 산정을 유의적인 위험으로 식별하였습니다.
공사진행률 산정에 영향을 미치는 총계약원가와 누적계약원가 금액과 관련하여 우리가 수행한 주요감사절차는 다음과 같습니다.
 ㆍ 공사진행률 증감원인에 대한 질문 및 분석적 검토
 ㆍ 공사원가 증가 사유와 전망에 대한 질문 및 분석적 검토
 ㆍ 누적계약원가 및 총계약원가 금액 변동에 대한 분석적 검토
 ㆍ 회사의 간접비 배분 정책을 이해하고 간접비 배분과 관련한 내부통제 테스트
 ㆍ 공사진행률이 유의적으로 변동된 계약에 대하여 독립적으로 공사진행률 재계산수행
 ㆍ 당기 발생한 투입원가 중 감사인이 독립적으로 투입원가의 발생과 귀속시기 및  건설계약별 원가귀속의 적정성을 테스트"
CSA 코스믹,제30기(전기),회계법인리안,적 정,-,"""재무제표에 대한 감사보고서 중
강조사항 및 기타사항 참조""",
CSA 코스믹,제29기(전전기),회계법인리안,적 정,-,"""재무제표에 대한 감사보고서 중
강조사항 및 기타사항 참조""",
CS홀딩스,제72기(당기),가율회계법인,적정,-,해당사항 없음,1. 제품매출원가 계산의 적정성
CS홀딩스,제71기(전기),가율회계법인,적정,-,해당사항 없음,
CS홀딩스,제70기(전전기),가율회계법인,적정,-,해당사항 없음,
DB,제43기,안진회계법인,적정,-,해당사항 없음,"1) 투입법 기준 진행매출 인식 대상 
   시스템 구축용역의 총예정원가 추정"
DB,제42기,안진회계법인,적정,-,해당사항 없음,"1) 시스템 구축용역의 수익인식 시점
2) 투입법 기준 진행매출 인식 대상 
   시스템 구축용역의 총예정원가 추정"
DB,제41기,안진회계법인,적정,-,"1) 수주산업 핵심감사항목에 대한 
    감사인의 강조사항 등
 가. 투입법에 따른 수익인식 및
      프로젝트 진행률의 적절성
 나. 총계약원가에 대한 추정의 
      불확실성 및 프로젝트 변경에
      따른 회계처리의 적절성",해당사항 없음
DB금융투자,제38기,한영회계법인,"연결재무제표: 적정, 재무제표: 적정",-,,"공정가치 서열체계 수준 3으로 분류된 당기손익-공정가치측정금융상품, 기타포괄손익-공정가치측정금융자산에 대한 공정가치 평가 
구조화기업에 대한 연결범위 판단
연결재무제표에 대한 경영진과 지배기구의 책임
연결재무제표감사에 대한 감사인의 책임"
DB금융투자,제37기,한영회계법인,"연결재무제표: 적정, 재무제표: 적정",-,,"공정가치 서열체계 수준 3으로 분류된 당기손익-공정가치측정금융상품, 기타포괄손익-공정가치측정금융자산에 대한 공정가치 평가  
구조화기업에 대한 연결범위 판단
연결재무제표에 대한 경영진과 지배기구의 책임
연결재무제표감사에 대한 감사인의 책임"
DB금융투자,제36기,딜로이트안진회계법인,"연결재무제표: 적정, 재무제표: 적정",-,,
DB생명보험,-,-,,-,,
DB생명보험,-,-,,-,,
DB생명보험,-,-,,-,,
DB손해보험,제53기,한영회계법인,적정의견,-,강조사항 없음,보험계약부채 중 보험료적립금
DB손해보험,제52기,한영회계법인,적정의견,-,강조사항 없음,보험계약부채 중 보험료적립금
DB손해보험,제51기,한영회계법인,적정의견,-,강조사항 없음,보험계약부채 중 보험료적립금
DB하이텍,제67기 (당기),삼정회계법인,적정,-,해당사항 없음,"(1) 투입법에 따른 수익인식
(2) 총계약원가에 대한 추정의 불확실성
(3) 산정된 조립생산 진행률의 적정성"
DB하이텍,제66기 (전기),삼정회계법인,적정,-,해당사항 없음,"(1) 투입법에 따른 수익인식
(2) 총계약원가에 대한 추정의 불확실성
(3) 산정된 조립생산 진행률의 적정성"
DB하이텍,제65기 (전전기),삼정회계법인,적정,-,해당사항 없음,
DGB금융지주,제9기(당기),삼정회계법인,적정,-,,"1) 개별평가 대상 대출채권의 기대신용손실 - 담보회수현금흐름 평가
2) 집합평가 대상 대출채권의 기대신용손실 - 리스크요소 평가"
DGB금융지주,제8기(전기),삼정회계법인,적정,-,,"1) 대출채권 손상
2) 보험계약부채 중 보험료적립금"
DGB금융지주,제7기(전전기),삼정회계법인,적정,-,,
DGP,제23기(당기),가현회계법인,적정,-,해당사항 없음,해당사항 없음
DGP,제22기(전기),대성삼경회계법인,적정,-,해당사항 없음,해당사항 없음
DGP,제21기(전전기),대성회계법인,적정,-,해당사항 없음,해당사항 없음
DH오토웨어,제41기(당기),삼일회계법인,적정,-,지적사항없음,현금창출단위에 대한 손상평가
DH오토웨어,제40기(전기),삼일회계법인,적정,-,지적사항없음,
DH오토웨어,제39기(전전기),삼정회계법인,적정,-,지적사항없음,
DL,제73기,안진회계법인,적정,-,,- 총 예정원가의 추정
DL,제72기,안진회계법인,적정,-,,"- 분양공사의 수익인식 시점
- 총 예정원가의 추정"
DL,제71기,안진회계법인,적정,-,,"- 투입법에 따른 수익인식
- 총계약원가에 대한 추정
- 공사진행율 산정
- 미청구미수공사금액 회수가능성
- 공사변경의 회계처리"
DL건설,제63기(당기),삼정회계법인,적정,-,,"- 투입법에 따른 수익인식 등 회계정책
- 총계약원가 추정의 불확실성
- 
산정된 공사진행률의 적정성
- 미청구공사금액 회수가능성에 대한 평가
- 공사변경에 따른 회계처리의 적절성"
DL건설,제62기(전기),삼정회계법인,적정,-,,"- 투입법에 따른 수익인식 등 회계정책
- 총계약원가 추정의 불확실성 및 공사변경에 대한 회계처리
- 공사진행률 산정
- 미청구공사금액 회수가능성에 대한 평가 "
DL건설,제61기(전전기),삼정회계법인,적정,-,,"- 투입법에 따른 수익인식 등 회계정책 
- 총계약원가 추정의 불확실성 및 공사변경에 대한 회계처리
- 공사진행률 산정 
- 미청구공사금액 회수가능성에 대한 평가 "
DL에너지,-,-,,-,,
DL에너지,-,-,,-,,
DL에너지,-,-,,-,,
DMS,제21기(당기),서현회계법인,적정,-,,수익인식 회계처리
DMS,제20기(전기),안진회계법인,적정,-,,
DMS,제19기(전전기),안진회계법인,적정,-,,
DN오토모티브,제49기(당기),안진회계법인,적정,-,해당사항없음,수출매출인식시기 및 자산손상평가
DN오토모티브,제48기(전기),안진회계법인,적정,-,해당사항없음,
DN오토모티브,제47기(전전기),안진회계법인,적정,-,해당사항없음,
DRB동일,-,-,,-,,
DRB동일,-,-,,-,,
DRB동일,-,-,,-,,
DSC인베스트먼트,제8기(당기),신한회계법인,적정,-,해당사항없음,
DSC인베스트먼트,제7기(전기),신한회계법인,적정,-,해당사항없음,
DSC인베스트먼트,제6기(전전기),신한회계법인,적정,-,해당사항없음,
DSEN,제25기(당기),이촌회계법인,적정,-,상장 적격성 실질심사 대상에 해당(최근 5사업연도 연속 영업손실의 발생 등),
DSEN,제24기(전기),안진회계법인,적정,-,,
DSEN,제23기(전전기),대성삼경회계법인,적정,-,,
DSR,제56기(당기),삼일회계법인,적정,-,해당사항 없음,재화판매 수익인식 발생사실
DSR,제55기(전기),삼일회계법인,적정,-,,
DSR,제54기(전전기),삼일회계법인,적정,-,,
DSR제강,제49기(당기),안경회계법인,적정,-,해당사항 없음,- 특수관계자와의 거래 및 잔액 공시의 적정성
DSR제강,제48기(전기),경신회계법인,적정,-,해당사항 없음,해당사항 없음
DSR제강,제47기(전전기),안진회계법인,적정,-,해당사항 없음,해당사항 없음
DXVX,제19기(당기),삼일회계법인,적정,-,,
DXVX,제18기(전기),안진회계법인,적정,-,,
DXVX,제17기(전전기),안진회계법인,적정,-,,
E1,제36기(당기),한영회계법인,적정,-,해당사항 없음,"- 연결 : 투자부동산에 대한 손상 평가
- 별도 : 종속기업투자주식(주식회사 LS네트웍스)에 대한 손상 평가"
E1,제35기(전기),한영회계법인,적정,-,해당사항 없음,해당사항 없음
E1,제34기(전전기),한영회계법인,적정,-,해당사항 없음,해당사항 없음
EDGC,제7기(당기),이촌회계법인,적정,-,해당사항없음,해당사항없음
EDGC,제6기(전기),이촌회계법인,적정,-,해당사항없음,해당사항없음
EDGC,제5기(전전기),한영회계법인,적정,-,해당사항없음,해당사항없음
EG,제33기(당기),회계법인 예교,적정,-,해당사항없음,해당사항없음
EG,제32기(전기),회계법인 예교,적정,-,해당사항없음,해당사항없음
EG,제31기(전전기),회계법인 예교,적정,-,해당사항없음,해당사항없음
EMB,제7기(당기),도원회계법인,적정,-,"1.상호 및 본점 소재지 변경
2.중단사업
3.종속기업 투자
4.합병",
EMB,제6기(전기),도원회계법인,적정,-,"1.상호, 본점 소재지 대표이사 변경
2.중단사업
3.종속기업 투자
4.합병",
EMB,제5기(전전기),도원회계법인,적정,-,,
ES큐브,제42기(당기),대현회계법인,적정,-,,
ES큐브,제41기(전기),대현회계법인,적정,-,,
ES큐브,제40기(전전기) ,대현회계법인,적정,-,,
F&F 홀딩스,제49기(당기),대성삼경회계법인,적정,-,해당사항 없음,-수익인식의 적정성
F&F 홀딩스,제48기(전기),대성삼경회계법인,적정,-,해당사항 없음,해당사항 없음
F&F 홀딩스,제47기(전전기),대성삼경회계법인,적정,-,해당사항 없음,해당사항 없음
FSN,제05기(당기),태성회계법인,적정,-,"연결재무제표에 대한 주석 12와 41에서 기술하고 있는 바와 같이 연결회사는 2019년 4월 5일을 매각일로 하여 종속회사인 주식회사 옐로스토리를 처분하였으며, 연결회사의 재무제표는 이러한 중단사업을 반영하여 작성되었습니다.",해당사항 없음
FSN,제04기(전기),태성회계법인,적정,-,해당사항 없음,해당사항 없음
FSN,제03기(전전기),태성회계법인,적정,-,해당사항 없음,해당사항 없음
GH신소재,제19기(당기),삼일회계법인,적정,-,,
GH신소재,제18기(전기),삼일회계법인,적정,-,,
GH신소재,제17기(전전기),삼일회계법인,적정,-,,
GKL,제15기(당기),대주회계법인,적정,-,해당사항 없음,해당사항 없음
GKL,제14기(전기),삼정회계법인,적정,-,해당사항 없음,해당사항 없음
GKL,제13기(전전기),삼정회계법인,적정,-,해당사항 없음,해당사항 없음
GRT,제7기(당기),이촌회계법인,적정,해당사항없음,,
GRT,제6기(전기),이촌회계법인,적정,해당사항없음,,
GRT,제5기(전전기),이촌회계법인,적정,해당사항없음,,
GS,제16기(당기),삼정회계법인,적정,-,해당사항 없음,"- 영업권에 대한 손상 평가
- 손상징후가 발생한 현금창출단위에 대한 손상검토
- 리스회계처리의 완전성과 정확성"
GS,제15기(전기),삼일회계법인,적정,-,해당사항 없음,"- 영업권에 대한 손상 평가
- 가맹점 상품매출인식
- 지급장려금 및 수취장려금
- 손상징후가 발생한 현금창출단위에 대한 손상검토"
GS,제14기(전전기),삼일회계법인,적정,-,해당사항 없음,해당사항 없음
GST,제19기(당기),이촌회계법인,적정,-,,
GST,제18기(전기),이촌회계법인,적정,-,,
GST,제17기(전전기),이촌회계법인,적정,-,,
GS건설,제51기,한영회계법인,적정,-,- 해당사항 없음,"- 총계약원가추정의 불확실성
- 공사진행율 산정
- 미청구공사금액 회수가능성
- 공사변경에 대한 회계처리"
GS건설,제50기,한영회계법인,적정,-,- 해당사항 없음,"- 총계약원가추정의 불확실성
- 공사진행율 산정
- 미청구공사금액 회수가능성
- 공사변경에 대한 회계처리"
GS건설,제49기,한영회계법인,적정,-,"- 계약수익, 총계약원가, 진행율, 미청구공사 및 초과청구공사
- 투입법에 따른 수익인식 
- 총계약원가 추정의 불확실성
- 공사진행율 산정
- 미청구공사금액 회수가능성
- 공사변경에 대한 회계처리",- 해당사항 없음
GS글로벌,제69기(당기),안진회계법인,적정,-,,"㈜지에스엔텍 현금창출단위 손상검사
㈜지에스엔텍 종속기업투자의 손상검사"
GS글로벌,제68기(전기),안진회계법인,적정,-,,
GS글로벌,제67기(전전기),안진회계법인,적정,-,,
GS리테일,제49기(당기),삼정회계법인,적정,-,해당사항 없음,"ㆍ손상징후가 발생한 현금창출단위에 대한 손상검토
ㆍ리스회계처리의 완전성과 정확성"
GS리테일,제48기(전기),삼정회계법인,적정,-,해당사항 없음,"ㆍ가맹점 상품매출인식
ㆍ지급장려금 및 수취장려금
ㆍ손상징후가 발생한 현금창출단위에 대한 손상검토"
GS리테일,제47기(전전기),삼정회계법인,적정,-,해당사항 없음,
GS에너지,제8기,삼정회계법인,적정,-,해당사항 없음,해당사항 없음
GS에너지,제7기,삼정회계법인,적정,-,해당사항 없음,해당사항 없음
GS에너지,제6기,삼정회계법인,적정,-,해당사항 없음,해당사항 없음
GS칼텍스,제53기(당기),삼정회계법인,적정,-,해당사항없음,해당사항없음
GS칼텍스,제52기(전기),삼정회계법인,적정,-,,
GS칼텍스,제51기(전전기),삼정회계법인,적정,-,,
GS파워,-,-,,-,,
GS파워,-,-,,-,,
GS파워,-,-,,-,,
HB테크놀러지,제23기(당기),우덕회계법인,적정,-,해당사항 없음,"- 수익인식의 적정성
- 계약자산의 회수가능성
- 영업권 손상평가"
HB테크놀러지,제22기(전기),우덕회계법인,적정,-,해당사항 없음,해당사항 없음
HB테크놀러지,제21기(전전기),우덕회계법인,적정,-,해당사항 없음,해당사항 없음
HDC,"제43기
(당기)",삼일회계법인,적정,-,"수준 3의 공정가치로 측정되는 
금융상품의 평가",수준 3의 공정가치로 측정되는 금융상품의 평가
HDC,"제42기
(전기)",삼일회계법인,적정,-,"인적분할, 중단영업손익",수준 3의 공정가치로 측정되는 금융상품의 평가
HDC,"제41기
(전전기)",삼일회계법인,적정,-,"수주산업 핵심감사항목,
인적분할의 결정","총계약원가 추정의 불확실성,
공사진행률 산정,
미청구공사금액 회수가능성"
HDC랩스,제21기(당기),삼일회계법인,적정,-,,투입법에 따른 수익인식의 정확성 및 발생사실
HDC랩스,제20기(전기),삼일회계법인,적정,-,,투입법에 따른 수익인식의 정확성 및 발생사실
HDC랩스,제19기(전전기),삼일회계법인,적정,-,,투입법에 따른 수익인식의 정확성 및 발생사실
HDC현대EP,제20기(당기),삼일회계법인,적정,-,,현금창출단위의 손상평가
HDC현대EP,제19기(전기),삼일회계법인,적정,-,,
HDC현대EP,제18기(전전기),삼일회계법인,적정,-,,
HDC현대산업개발,제2기(당기),삼일회계법인,적정,-,,"- 투입법에 따른 수익인식
- 신용손상의 징후 발생 현장에 대한 
   금융자산 회수가능성"
HDC현대산업개발,제1기(전기),삼일회계법인,적정,-,,"- 투입법에 따른 수익인식의 정확성
- 신용손상의 징후 발생 현장에 대한
   금융자산 회수가능성"
HDC현대산업개발,-,-,,-,,
